frequency,cpu_load,start_time,end_time,bogo_ops,real_time,usr_time,sys_time,bogo_ops_per_sec_real,bogo_ops_per_sec_usr_sys,mean_voltage_V,mean_current_A,mean_temp_C_ema
600000.0,10,1718993452.484868,1718993482.537799,664.0,30.0,17.86,0.02,22.13,37.15,5.244538718801997,0.33169700499168053,30.199584692179695
700000.0,10,1718993484.641377,1718993514.687799,664.0,30.0,15.19,0.03,22.13,43.62,5.238133814913449,0.3850201065246339,30.109952729693745
800000.0,10,1718993516.161691,1718993546.203337,664.0,30.0,13.33,0.01,22.13,49.76,5.2394108225108225,0.37603851481851486,30.07261538461539
900000.0,10,1718993547.525249,1718993578.563142,708.0,31.0,14.06,0.01,22.84,50.3,5.238703374154045,0.38230520786335803,30.0
1000000.0,10,1718993580.002722,1718993610.037057,904.0,30.0,14.85,0.02,30.13,60.81,5.237887306027306,0.3883606893106893,29.984034299034295
1100000.0,10,1718993611.359128,1718993627.622123,664.0,16.23,9.71,0.02,40.91,68.27,5.233867316923076,0.42377578461538457,29.90838338461538
